query_name,phase_reached,meta_is_incremental,actual_is_incremental,is_correct,time_select_ms,time_mv_ms,time_refresh_ms,time_verify_ms,error
query_0287,6,1,1,1,0.53766,177.18,52.119,3.4873,""
query_0288,6,1,1,1,0.44663,156.6,58.241,10.452,""
query_0289,6,1,1,1,0.25384,153.85,48.071,3.3752,""
query_0290,6,1,1,1,0.31631,150.01,50.094,2.982,""
query_0291,6,1,1,1,0.3483,146.92,57.115,2.9685,""
query_0292,6,1,1,1,0.31022,155.32,60.454,2.9207,""
query_0293,6,1,1,1,0.36517,161.98,66.685,5.9256,""
query_0294,6,1,1,1,0.39524,166.74,57.179,2.9249,""
query_0295,6,1,1,1,0.33844,143.17,54.089,2.3882,""
query_0296,6,1,1,1,0.31729,135.84,51.81,3.2849,""
query_0297,6,1,1,1,0.28533,151.58,2.7514,2.6947,""
query_0298,6,1,1,1,0.546,148.66,51.667,2.2319,""
query_0299,6,1,1,1,0.84243,171.51,163.72,46.595,""
query_0300,2,1,0,0,0.84243,171.51,163.72,46.595,"timeout"
query_0301,6,1,1,1,0.71627,179.81,157.99,53.891,""
query_0302,6,1,1,1,0.41995,142.88,86.572,4.7088,""
query_0303,6,1,1,1,0.33462,134.58,87.818,8.5482,""
query_0304,6,1,1,1,0.73517,140.58,94.482,30.782,""
query_0305,6,1,1,1,0.6794,133.57,91.276,27.373,""
query_0306,6,1,1,1,0.96072,140.57,93.11,25.852,""
query_0307,6,1,1,1,0.70117,141.79,97.467,24.038,""
query_0308,6,1,1,1,0.78246,158.1,101.46,25.433,""
query_0309,6,1,1,1,0.75315,144.99,102.04,23.923,""
query_0310,6,1,1,1,0.76884,144.86,96.982,25.162,""
query_0311,6,1,1,1,0.71083,142.78,98.891,25.128,""
query_0312,6,1,1,1,0.697,147.32,96.314,24.457,""
query_0313,6,1,1,1,0.35775,131.36,39.992,3.2111,""
query_0314,6,1,1,1,0.38227,132.12,44.076,7.5592,""
query_0315,6,1,1,1,0.3791,130.52,42.125,3.5053,""
query_0316,6,1,1,1,0.3468,135.25,1.3871,6.7215,""
query_0317,6,1,1,1,0.34577,133.25,1.3645,2.0845,""
query_0318,6,1,1,1,0.32415,129.84,1.4316,2.1927,""
query_0319,6,1,1,1,0.33371,131.45,38.951,4.3043,""
query_0320,6,1,1,1,0.30294,126.76,2.0922,2.7902,""
query_0321,6,1,1,1,0.29256,125.25,39.671,4.3726,""
query_0322,6,1,1,1,0.29614,125.14,41.134,3.8332,""
query_0323,6,1,1,1,0.29248,127.84,37.46,7.2877,""
query_0324,6,1,1,1,0.28374,127.16,38.613,3.6033,""
query_0325,6,1,1,1,0.25572,126.11,1.3922,3.2197,""
query_0326,6,1,1,1,0.28379,125.33,37.668,2.4199,""
query_0327,6,1,1,1,0.27514,123.08,1.4106,2.339,""
query_0328,6,1,1,1,0.35646,126.68,38.32,4.0894,""
query_0329,6,1,1,1,0.28794,126.24,38.867,4.0359,""
query_0330,6,1,1,1,0.21785,119.7,1.4475,3.886,""
query_0331,6,1,1,1,0.31463,123.32,39.499,2.3323,""
query_0332,6,1,1,1,0.25701,121.27,1.3721,1.9122,""
query_0333,6,1,1,1,0.29991,127.45,43.499,1.5494,""
query_0334,6,1,1,1,0.34386,133.42,47.556,3.0298,""
query_0335,6,1,1,1,0.31896,134.28,47.101,3.8214,""
query_0336,6,1,1,1,0.28862,133.33,44.844,3.0786,""
query_0337,6,1,1,1,0.33594,133.76,1.8494,3.5473,""
query_0338,6,1,1,1,0.23892,133.5,1.345,5.2577,""
query_0339,6,1,1,1,0.26059,132.48,38.762,1.502,""
query_0340,6,1,1,1,0.4198,133.76,38.535,5.362,""
query_0341,6,1,1,1,0.27801,129.07,1.2743,5.4609,""
query_0342,6,1,1,1,0.27075,121.93,1.3741,3.8274,""
query_0343,6,1,1,1,0.29655,122.46,1.1952,5.4673,""
query_0344,6,1,1,1,0.41029,126.14,1.6867,4.3438,""
query_0345,6,1,1,1,0.50681,135.12,127.05,4.2595,""
query_0346,6,1,1,1,0.33883,120.5,38.536,4.006,""
query_0347,6,1,1,1,0.28849,124.28,1.3035,2.782,""
query_0348,6,1,1,1,0.29991,123.45,40.214,4.0453,""
query_0349,6,1,1,1,0.29857,127.93,41.79,2.5363,""
query_0350,6,1,1,1,0.34273,130.89,46.315,2.909,""
query_0351,6,1,1,1,0.30094,131.57,1.3703,2.461,""
query_0352,6,1,1,1,0.36982,128.09,38.935,2.6958,""
query_0353,6,1,1,1,0.3553,128.47,1.5176,1.8358,""
query_0354,6,1,1,1,0.28724,125.08,38.892,1.5364,""
query_0355,6,1,1,1,0.37978,123.08,38.508,2.1548,""
query_0356,6,1,1,1,0.39066,125.04,48.503,2.6772,""
query_0357,6,1,1,1,0.38244,125.88,47.17,3.5613,""
query_0358,6,1,1,1,0.30235,122.55,1.8286,2.9399,""
query_0359,6,1,1,1,0.25142,120.32,36.437,1.7626,""
query_0360,6,1,1,1,0.28662,118.09,37.579,1.68,""
query_0361,6,1,1,1,0.26849,121.45,37.282,1.7132,""
query_0362,6,1,1,1,0.26992,120.86,39.275,2.1957,""
query_0363,6,1,1,1,0.25697,122.83,37.786,1.8286,""
query_0364,6,1,1,1,0.27485,122.22,38.304,1.7814,""
query_0365,6,1,1,1,0.29549,119.82,37.029,1.7321,""
query_0366,6,1,1,1,0.29179,124.95,38.314,1.8054,""
query_0367,6,1,1,1,0.28504,121.77,37.578,1.8097,""
query_0368,6,1,1,1,0.27679,122.29,38.25,1.7175,""
query_0369,6,1,1,1,0.27462,136.21,38.993,1.9065,""
query_0370,6,1,1,1,0.26782,120.94,38.381,1.6998,""
query_0371,6,1,1,1,0.26249,125.16,37.538,1.8312,""
query_0372,6,1,1,1,0.25482,125.56,38.077,1.8869,""
query_0373,6,1,1,1,0.24574,119.17,35.742,1.6322,""
query_0374,6,1,1,1,0.23628,120.86,35.289,1.5964,""
query_0375,6,1,1,1,0.25903,115.86,37.041,1.6962,""
query_0376,6,1,1,1,0.24885,117.95,36.671,1.8043,""
query_0377,6,1,1,1,0.25632,118.18,36.615,1.779,""
query_0378,6,1,1,1,0.26601,119.66,36.88,1.7339,""
query_0379,6,1,1,1,0.24599,118.94,36.879,1.8443,""
query_0380,6,1,1,1,0.24756,119.85,40.662,1.8995,""
query_0381,6,1,1,1,0.26876,121.99,37.665,1.6618,""
query_0382,6,1,1,1,0.26644,119.88,37.15,1.6949,""
query_0383,6,1,1,1,0.25938,122.57,37.833,1.7418,""
query_0384,6,1,1,1,0.26664,121.96,36.539,1.6709,""
query_0385,6,1,1,1,0.27134,118.41,37.167,1.8773,""
query_0386,6,1,1,1,0.24914,121.53,36.824,1.7381,""
query_0387,6,1,1,1,0.26449,119.71,37.006,1.8929,""
query_0388,6,1,1,1,0.25791,120.47,40.299,1.9413,""
query_0389,6,1,1,1,0.25708,121.53,36.275,1.713,""
query_0390,6,1,1,1,0.27699,119.71,35.519,1.82,""
query_0391,6,1,1,1,0.25211,120.25,36.727,1.7483,""
query_0392,6,1,1,1,0.24793,119.91,37.32,1.8782,""
query_0393,6,1,1,1,0.27067,124.97,36.72,1.9298,""
query_0394,6,1,1,1,0.25063,122.17,39.593,2.001,""
query_0395,6,1,1,1,0.3718,126.27,37.478,1.6897,""
query_0396,6,1,1,1,0.27653,125.84,37.872,1.7041,""
query_0397,6,1,1,1,0.25821,123.44,37.808,1.8152,""
query_0398,6,1,1,1,0.29505,124.07,38.297,1.698,""
